userid,timeslot,rank,x,y
67,17,13.0,653,39
67,19,13.0,640,26
67,20,13.0,640,26
67,39,13.0,641,27
67,0,14.0,644,30
67,2,14.0,644,31
67,19,14.0,640,27
67,45,15.0,639,31
67,1,16.0,639,31
67,3,16.0,640,27
67,45,16.0,641,25
67,1,17.0,641,25
67,3,17.0,642,26
67,16,17.0,638,30
67,39,17.0,638,29
67,41,17.0,641,24
67,1,18.0,639,31
67,3,18.0,640,32
67,7,18.0,640,31
67,37,18.0,639,32
67,39,18.0,640,34
67,41,18.0,639,35
67,22,18.0,640,34
67,45,18.0,642,26
67,5,19.0,642,26
67,14,19.0,640,27
67,27,19.0,641,37
67,17,19.0,641,37
67,33,19.0,642,26
67,0,20.0,640,37
67,3,20.0,641,37
67,5,20.0,638,33
67,17,20.0,640,34
67,33,20.0,640,33
67,41,20.0,642,26
67,41,1.0,658,22
67,29,2.0,640,27
67,43,2.0,663,20
67,20,3.0,638,31
67,39,3.0,638,31
67,45,3.0,639,33
67,1,4.0,641,31
67,3,4.0,640,31
67,4,4.0,641,31
67,1,5.0,640,31
67,5,6.0,640,30
67,2,7.0,641,24
67,3,8.0,653,39
67,24,9.0,641,27
67,3,10.0,640,26
67,43,10.0,640,35
67,5,11.0,639,32
67,7,12.0,653,39
110,3,8.0,639,35
110,33,9.0,641,28
110,18,9.0,640,28
110,35,9.0,639,29
110,21,10.0,640,29
110,23,10.0,640,28
110,1,11.0,640,28
110,2,11.0,641,28
110,43,11.0,641,28
110,39,12.0,640,29
110,24,12.0,663,20
110,1,13.0,663,20
110,13,13.0,640,29
110,18,13.0,640,29
110,35,13.0,640,28
110,23,13.0,640,29
110,45,13.0,641,28
110,24,13.0,641,28
110,25,14.0,640,29
110,33,14.0,641,28
110,41,14.0,641,28
110,22,14.0,641,28
110,25,15.0,640,29
110,31,15.0,641,28
110,23,15.0,640,29
110,1,16.0,641,28
110,15,16.0,640,29
110,16,16.0,640,28
110,31,16.0,640,28
110,23,16.0,643,30
110,11,17.0,641,29
110,16,17.0,640,28
110,35,17.0,641,28
110,37,17.0,641,28
110,33,18.0,640,28
110,18,18.0,641,28
110,43,18.0,641,28
110,23,18.0,641,28
110,13,19.0,640,29
