userid,timeslot,rank,x,y
67,17,13.0,327,19
67,0,14.0,322,15
67,45,15.0,320,15
67,1,16.0,320,15
67,1,17.0,321,12
67,1,18.0,320,15
67,5,19.0,321,13
67,0,20.0,320,18
67,41,1.0,329,11
67,29,2.0,320,13
67,20,3.0,319,15
67,1,4.0,321,15
67,1,5.0,320,15
67,5,6.0,320,15
67,2,7.0,321,12
67,3,8.0,327,19
67,24,9.0,321,13
67,3,10.0,320,13
67,5,11.0,320,16
67,7,12.0,327,19
110,3,8.0,320,17
110,33,9.0,321,14
110,21,10.0,320,14
110,1,11.0,320,14
110,39,12.0,320,14
110,1,13.0,332,10
110,25,14.0,320,14
110,25,15.0,320,14
110,1,16.0,321,14
110,11,17.0,321,14
110,33,18.0,320,14
110,13,19.0,320,14
110,13,20.0,320,14
110,16,4.0,332,10
110,33,5.0,320,17
110,2,6.0,320,15
110,4,7.0,320,15
110,0,1.0,320,17
110,0,2.0,320,17
110,9,3.0,332,10
175,25,14.0,319,15
175,45,1.0,319,15
175,45,3.0,319,15
175,23,4.0,321,17
175,4,5.0,320,18
175,7,7.0,320,15
175,17,8.0,319,14
175,45,9.0,322,15
175,5,10.0,321,15
175,31,11.0,319,14
175,21,12.0,330,162
175,35,13.0,332,24
175,22,15.0,320,17
175,1,16.0,322,43
175,29,17.0,319,14
175,1,18.0,320,19
175,41,19.0,320,15
175,21,20.0,319,14
175,22,2.0,319,14
175,43,6.0,319,14
251,2,1.0,322,15
251,0,2.0,322,15
251,14,3.0,320,15
251,16,4.0,322,16
251,29,5.0,320,15
251,41,6.0,321,12
251,33,7.0,320,15
251,33,8.0,322,16
251,23,9.0,320,15
251,1,10.0,320,15
251,43,11.0,320,15
251,5,12.0,320,15
251,24,13.0,320,16
251,20,14.0,322,16
251,22,15.0,320,15
251,39,16.0,321,16
251,7,17.0,320,16
251,23,18.0,322,15
251,18,19.0,322,16
251,22,20.0,327,19
278,1,1.0,321,17
278,37,2.0,322,19
278,0,3.0,320,16
278,16,4.0,320,17
278,15,5.0,320,17
278,13,6.0,332,10
278,37,7.0,320,17
278,3,8.0,321,17
278,24,10.0,327,19
278,15,11.0,320,17
278,27,12.0,320,17
278,31,13.0,320,17
278,3,14.0,320,15
278,3,15.0,321,17
278,13,17.0,332,10
278,2,18.0,320,17
278,5,19.0,321,19
278,39,20.0,320,17
