userid,timeslot,rank,x,y
67,17,13.0,218,13
67,0,14.0,215,10
67,45,15.0,213,10
67,1,16.0,213,10
67,1,17.0,214,8
67,1,18.0,213,10
67,5,19.0,214,8
67,0,20.0,214,12
67,41,1.0,220,7
67,29,2.0,214,9
67,20,3.0,213,10
67,1,4.0,214,10
67,1,5.0,214,10
67,5,6.0,214,10
67,2,7.0,214,8
67,3,8.0,218,13
67,24,9.0,214,9
67,3,10.0,214,8
67,5,11.0,213,10
67,7,12.0,218,13
110,3,8.0,213,11
110,33,9.0,214,9
110,21,10.0,214,9
110,1,11.0,214,9
110,39,12.0,214,9
110,1,13.0,221,6
110,25,14.0,214,9
110,25,15.0,214,9
110,1,16.0,214,9
110,11,17.0,214,9
110,33,18.0,214,9
110,13,19.0,214,9
110,13,20.0,214,9
110,16,4.0,221,6
110,33,5.0,214,11
110,2,6.0,213,10
110,4,7.0,214,10
110,0,1.0,214,11
110,0,2.0,213,11
110,9,3.0,221,6
175,25,14.0,213,10
175,45,1.0,213,10
175,45,3.0,213,10
175,23,4.0,214,11
175,4,5.0,214,12
175,7,7.0,214,10
175,17,8.0,213,9
175,45,9.0,215,10
175,5,10.0,214,10
175,31,11.0,213,9
175,21,12.0,220,108
175,35,13.0,221,16
175,22,15.0,214,11
175,1,16.0,215,28
175,29,17.0,213,9
175,1,18.0,214,12
175,41,19.0,213,10
175,21,20.0,213,9
175,22,2.0,213,9
175,43,6.0,213,9
251,2,1.0,215,10
251,0,2.0,215,10
251,14,3.0,213,10
251,16,4.0,215,11
251,29,5.0,213,10
251,41,6.0,214,8
251,33,7.0,213,10
251,33,8.0,215,11
251,23,9.0,213,10
251,1,10.0,214,10
251,43,11.0,213,10
251,5,12.0,213,10
251,24,13.0,213,10
251,20,14.0,215,11
251,22,15.0,214,10
251,39,16.0,214,10
251,7,17.0,213,10
251,23,18.0,215,10
251,18,19.0,215,11
251,22,20.0,218,12
278,1,1.0,214,11
278,37,2.0,215,13
278,0,3.0,213,11
278,16,4.0,214,11
278,15,5.0,214,11
278,13,6.0,222,6
278,37,7.0,214,11
278,3,8.0,214,11
278,24,10.0,218,13
278,15,11.0,214,11
278,27,12.0,214,11
278,31,13.0,214,11
278,3,14.0,214,10
278,3,15.0,214,11
278,13,17.0,221,6
278,2,18.0,214,11
278,5,19.0,214,13
278,39,20.0,214,11
278,4,9.0,214,8
278,16,16.0,218,27
289,3,12.0,213,10
289,3,13.0,213,11
289,9,1.0,77,129
289,13,2.0,222,6
289,20,3.0,214,11
289,15,4.0,75,126
289,45,5.0,79,128
289,0,6.0,81,130
289,9,7.0,77,130
289,23,8.0,74,129
289,0,9.0,69,111
289,1,10.0,63,123
289,37,11.0,37,122
289,0,14.0,82,129
289,23,15.0,70,122
289,24,16.0,70,122
289,5,17.0,77,129
289,43,18.0,78,128
289,19,19.0,222,99
289,1,20.0,80,130
296,1,8.0,214,12
296,41,10.0,214,12
296,31,11.0,214,12
296,16,13.0,214,12
296,29,14.0,214,12
296,21,15.0,215,13
296,7,16.0,213,11
296,24,17.0,214,8
296,17,18.0,214,12
296,1,19.0,214,8
296,1,20.0,213,10
296,3,1.0,214,8
296,35,2.0,213,10
296,43,3.0,214,8
296,1,4.0,214,11
296,18,5.0,214,10
296,35,6.0,214,10
296,3,7.0,214,8
296,35,9.0,214,10
296,17,12.0,213,11
302,20,1.0,109,79
302,37,2.0,107,81
302,35,3.0,77,130
302,1,4.0,214,10
302,16,5.0,213,10
302,2,6.0,214,10
302,1,7.0,214,11
302,5,8.0,214,11
302,21,9.0,214,11
302,2,10.0,214,11
302,0,11.0,214,10
302,1,12.0,214,11
302,0,13.0,214,11
302,3,14.0,213,10
302,1,15.0,213,10
302,0,16.0,213,10
302,3,17.0,214,10
302,0,18.0,213,10
302,1,19.0,214,10
302,1,20.0,214,11
309,5,13.0,218,13
309,31,14.0,214,13
309,24,9.0,218,13
309,3,10.0,213,10
309,3,11.0,215,14
309,2,12.0,214,11
309,23,15.0,214,9
309,18,16.0,214,8
309,15,17.0,213,11
309,16,18.0,218,13
309,0,19.0,214,11
309,41,20.0,214,12
309,16,1.0,213,10
309,3,2.0,213,10
309,18,3.0,214,9
309,0,4.0,214,9
309,1,5.0,214,10
309,1,6.0,213,10
309,0,7.0,214,7
309,29,8.0,213,10
374,1,1.0,214,13
374,41,2.0,214,13
374,27,4.0,214,12
374,37,5.0,214,13
374,43,6.0,214,12
374,5,7.0,214,13
374,0,8.0,214,13
374,1,9.0,214,13
374,20,10.0,214,13
374,31,11.0,214,12
374,15,12.0,214,12
374,1,13.0,214,13
374,1,14.0,214,13
374,0,15.0,214,13
374,1,16.0,214,13
374,7,17.0,214,12
374,16,18.0,214,12
374,29,19.0,214,12
374,1,20.0,214,13
374,35,3.0,214,11
481,35,1.0,213,8
481,1,2.0,214,8
481,0,3.0,215,12
481,7,4.0,214,8
481,2,5.0,214,10
481,19,6.0,213,8
481,31,7.0,214,8
481,45,8.0,214,10
481,13,9.0,213,8
481,35,10.0,214,8
481,0,11.0,213,8
481,13,12.0,213,8
481,12,13.0,213,8
481,13,14.0,213,8
481,18,15.0,214,12
481,17,16.0,213,8
481,39,17.0,214,10
481,1,18.0,214,8
481,13,19.0,213,8
481,0,20.0,214,8
524,7,1.0,215,14
524,10,2.0,215,14
524,7,3.0,215,14
524,16,4.0,214,12
524,43,5.0,215,14
524,18,6.0,215,14
524,37,7.0,215,14
524,7,8.0,215,14
524,35,9.0,215,13
